Title,Features.Handheld?,Features.Max Players,Features.Multiplatform?,Features.Online?,Metadata.Genres,Metadata.Licensed?,Metadata.Publishers,Metadata.Sequel?,Metrics.Review Score,Metrics.Sales,Metrics.Used Price,Release.Console,Release.Rating,Release.Re-release?,Release.Year,Length.All PlayStyles.Average,Length.All PlayStyles.Leisure,Length.All PlayStyles.Median,Length.All PlayStyles.Polled,Length.All PlayStyles.Rushed,Length.Completionists.Average,Length.Completionists.Leisure,Length.Completionists.Median,Length.Completionists.Polled,Length.Completionists.Rushed,Length.Main + Extras.Average,Length.Main + Extras.Leisure,Length.Main + Extras.Median,Length.Main + Extras.Polled,Length.Main + Extras.Rushed,Length.Main Story.Average,Length.Main Story.Leisure,Length.Main Story.Median,Length.Main Story.Polled,Length.Main Story.Rushed
Dissidia: Final Fantasy,True,1,True,True,"Action,Role-Playing (RPG)",True,SquareEnix,True,79,0.49,17.95,Sony PSP,T,True,2008,63.31666666666667,178.31666666666666,50.0,67,36.65,117.16666666666669,206.65,109.46666666666668,10,72.48333333333333,73.53333333333333,179.3,63.66666666666666,31,48.5,30.433333333333334,40.41666666666666,30.0,26,23.433333333333334
NiGHTS: Journey of Dreams,True,2,True,True,Action,True,Sega,True,69,0.3,14.95,Nintendo Wii,M,True,2007,6.683333333333334,7.083333333333333,6.616666666666667,4,6.316666666666666,0.0,0.0,0.0,0,0.0,7.25,7.25,7.25,1,7.25,6.5,6.883333333333333,6.0,3,6.116666666666666
Guitar Hero III: Legends of Rock,True,2,True,True,"Action,Simulation",True,Activision,True,86,3.19,49.95,Nintendo Wii,T,True,2007,15.183333333333334,56.0,8.833333333333334,86,7.5,18.9,25.716666666666665,24.0,5,13.466666666666669,27.066666666666663,60.63333333333333,15.5,29,12.133333333333333,8.216666666666667,19.05,8.0,52,5.55
Avatar: The Last Airbender,True,1,True,True,Action,True,THQ,True,64,0.3,17.95,Nintendo DS,E,True,2006,4.75,6.433333333333334,5.0,11,2.6,4.066666666666666,6.016666666666667,4.0,5,2.183333333333333,0.0,0.0,0.0,0,0.0,5.333333333333333,6.583333333333333,6.0,6,3.5
Madden NFL 06,True,1,True,True,Sports,True,EA,True,66,0.12,9.95,Nintendo DS,E,True,2005,3.75,5.366666666666666,3.75,2,2.1166666666666667,3.75,5.366666666666666,3.75,2,2.1166666666666667,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
Ninja Reflex,True,1,True,True,Action,True,EA,True,54,0.08,12.95,Nintendo DS,T,True,2008,3.8333333333333335,3.9166666666666665,3.8333333333333335,2,3.75,3.6666666666666665,3.6666666666666665,3.6666666666666665,1,3.6666666666666665,0.0,0.0,0.0,0,0.0,4.0,4.0,4.0,1,4.0
Bully: Scholarship Edition,True,2,True,True,"Action,Adventure",True,Rockstar,True,83,0.16,17.95,Nintendo Wii,E,True,2008,18.8,28.03333333333333,17.35,251,12.033333333333331,26.58333333333333,32.05,26.0,41,21.633333333333333,19.53333333333333,28.383333333333333,18.0,121,14.95,14.25,21.8,13.2,89,9.85
Legendary,True,1,True,True,Action,True,Atari,True,47,0.07,17.95,X360,T,True,2008,5.85,9.366666666666667,5.633333333333333,57,4.866666666666667,6.683333333333334,7.15,6.916666666666667,5,6.4,7.6,10.016666666666667,6.5,11,5.583333333333333,5.283333333333333,6.483333333333333,5.0,41,4.566666666666666
Alone in the Dark,True,1,True,True,"Action,Adventure,Racing / Driving",True,Atari,True,58,0.12,14.95,X360,M,True,2008,6.6,9.166666666666666,6.116666666666666,18,4.333333333333333,9.15,10.4,8.5,4,8.216666666666667,0.0,0.0,0.0,0,0.0,5.866666666666667,7.533333333333333,6.0,14,4.133333333333334
The Incredible Hulk,True,1,True,True,Action,True,Sega,True,46,0.29,16.95,Nintendo Wii,T,True,2008,5.216666666666667,5.216666666666667,5.216666666666667,1,5.216666666666667,5.216666666666667,5.216666666666667,5.216666666666667,1,5.216666666666667,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
